id_empleado,nombre,cedula,cargo,fecha_ingreso,telefono,email
53,Melchor Tamayo Samper,8253588830,Confeccionista,2025-05-08,+34 820070813,agatarosa@gascon-minguez.es
54,Rodrigo Luna,5571463348,Diseñador,2022-05-17,+34805104130,tamara20@gmail.com
55,Cristóbal Planas Yuste,4055111006,Diseñador,2020-10-05,+34703435696,jtrujillo@gmail.com
56,Gustavo Diego Dueñas,8850855324,Cortador,2021-05-17,+34727 300 061,ljulian@yahoo.com
57,Donato Fabregat Vilalta,1593845423,Confeccionista,2020-06-24,+34996446795,rquesada@alvarez.net
58,Carlos Sierra Manrique,3041655832,Supervisor,2025-01-06,+34700 77 68 93,tomasamora@mulet.com
59,Ágata Carbonell Pol,2474903510,Empacador,2024-09-12,+34 703 92 81 99,clementinalosa@hotmail.com
60,Edu Clavero-Rodríguez,7430208829,Empacador,2022-04-03,+34733 330 325,calbienvenida@gmail.com
61,Ámbar Acuña Garrido,5227086192,Diseñador,2022-05-09,+34 742 700 714,jcabrera@morera.es
62,Cristian Zabaleta Valcárcel,4186042257,Empacador,2024-03-08,+34 948322102,arenasmarisela@caballero-tomas.net
63,Germán Ceferino Lerma Mercader,2404782982,Cortador,2020-11-01,+34644289384,petronaleon@hotmail.com
64,Brunilda Morillo Valenzuela,9843987509,Cortador,2023-11-26,+34731 53 26 38,angelicabenito@gmail.com
65,Roxana Reguera Peinado,5916786582,Confeccionista,2024-10-22,+34718 185 568,eladio36@yuste.com
66,Febe Lara Román,4036758349,Supervisor,2020-09-25,+34653 723 358,mmontserrat@vendrell.com
67,Clemente Segura Conde,7398319263,Cortador,2024-01-02,+34701673111,bernadjuan@gmail.com
68,Juan Francisco Belda Peña,7646778968,Supervisor,2025-04-29,+34 736636414,jsabater@hotmail.com
69,Goyo Godoy Cabañas,1994185438,Empacador,2025-01-18,+34711019807,nico26@hotmail.com
70,Rosario Chaves Rincón,2666687839,Cortador,2023-09-22,+34728 939 829,fabiola76@yahoo.com
71,Jonatan Luís Badía,5639586242,Confeccionista,2022-12-01,+34618 73 52 45,elisabetvergara@nunez.es
72,Rodrigo Julián Saura Valle,6370859793,Supervisor,2025-04-05,+34 639512886,sanchopascuala@hotmail.com
73,Lucas Rodríguez Molins,2144774430,Confeccionista,2021-11-08,+34 721 599 301,lucilalosada@hotmail.com
74,Lalo Cervantes Aragón,669587272,Cortador,2024-05-30,+34 710 383 084,garmendiaamilcar@gmail.com
75,Candela Pons Segarra,2589517964,Diseñador,2022-04-11,+34 907286802,bernabe69@yahoo.com
76,Renato Pino Gálvez,9675386174,Empacador,2022-01-29,+34749913855,sorianochucho@manjon.com
77,Roque Heras Sedano,1751246134,Supervisor,2020-11-27,+34 746 41 08 61,gordillomiriam@gmail.com
78,Fausto Segismundo Jáuregui Lloret,8526259271,Confeccionista,2024-10-07,+34 709905686,kvillaverde@hotmail.com
79,Saturnina Ariza Cabrero,5277949395,Supervisor,2020-10-08,+34 734431541,ccarreras@hotmail.com
80,Obdulia Águila Castejón,8244659814,Supervisor,2024-06-12,+34 813 35 89 73,pizarromayte@hotmail.com
81,Reyes Riba Peñalver,686124008,Diseñador,2021-07-10,+34 898 87 09 59,pastornieves@hotmail.com
82,Lucho Rios Cerdán,8069414937,Empacador,2023-12-09,+34645 273 559,nicojulia@coello.es
83,Pancho Huerta Parra,629963969,Empacador,2022-11-28,+34701 543 082,javiera38@carmona-villar.net
84,Flavio del Reyes,8103911037,Empacador,2021-11-12,+34 659 808 806,gertrudis77@yahoo.com
85,Aitor Mendez-Molina,297164266,Confeccionista,2021-03-15,+34749 505 660,peraljenaro@egea-arino.com
86,Sergio Guijarro Segarra,7959928846,Empacador,2022-05-01,+34 749 841 965,abril82@sole.com
87,Ágata Marqués,3648706620,Diseñador,2024-01-04,+34746110597,torrentjuan-carlos@sandoval-verdugo.es
88,Bernabé Figueroa Acedo,3891796125,Confeccionista,2022-10-19,+34 708 96 75 44,fernando76@gmail.com
89,Inocencio Gomila Figueroa,4078356973,Diseñador,2022-06-06,+34734 77 26 00,cortesangelita@egea.org
90,Ester Esteban Casares,1960136008,Diseñador,2024-08-17,+34 911 95 93 46,narvaezadelaida@yahoo.com
91,Dulce Escamilla-Verdú,5286118281,Supervisor,2023-02-19,+34611526403,natanael44@arnal-palomo.com
92,Casandra Mas Riquelme,1141793497,Empacador,2022-01-12,+34 706 732 195,leocadiobermudez@hotmail.com
93,Jessica Macarena Arnaiz Cabello,4872717833,Supervisor,2021-05-16,+34 727967937,florencio83@gmail.com
94,Prudencia Zapata Nieto,2264656397,Supervisor,2023-05-14,+34 707081098,lazaromelendez@yahoo.com
95,Norberto Miguel Daza,4643443830,Diseñador,2023-11-10,+34 807824541,nsalcedo@gmail.com
96,Ciro Somoza Llorente,7235262128,Supervisor,2020-10-15,+34 842 524 062,ncuadrado@hotmail.com
97,Moreno Flores Pulido,668506380,Diseñador,2024-08-26,+34 711350216,florina00@hotmail.com
98,Martín Hidalgo Beltran,8552956528,Supervisor,2020-08-17,+34723 39 42 27,moreno48@hotmail.com
99,Dulce Ayala,394564111,Confeccionista,2024-01-02,+34 744 591 584,heraclio30@hotmail.com
100,Gabriel Víctor Esteve Diaz,8105449892,Cortador,2025-04-13,+34725238408,marcelo53@chaparro.com
101,Jesús Oliveras Mendoza,5753483068,Diseñador,2021-02-24,+34723 36 12 70,fabiolamosquera@ferreras.es
102,Jose Miguel Fuertes-Galán,8442531412,Cortador,2021-03-22,+34 728 60 79 67,consuelo17@yahoo.com
103,Pepe Acevedo Solé,6056277900,Diseñador,2023-01-07,+34716880440,cristian52@hotmail.com
104,Heriberto Rómulo Martínez Huguet,9467834802,Diseñador,2022-01-15,+34 739479821,saezmarina@hotmail.com
105,Imelda Leticia Amat Valderrama,1838577383,Empacador,2024-05-10,+34742 96 28 36,lucianatomas@navarrete.com
106,Inmaculada Peiró Llabrés,3144502646,Cortador,2023-05-12,+34 877 40 06 55,jacinta42@yahoo.com
107,Pili Noguera-Gallart,2934621201,Diseñador,2020-12-08,+34 713 936 547,tsaez@aragones.com
108,Fabián Barbero-Uriarte,8344736043,Cortador,2023-01-19,+34 736 72 32 17,encarnita90@hotmail.com
109,Eloy Tello,4913507344,Diseñador,2022-07-11,+34 713 293 371,ztrillo@alsina.com
110,Isabela Adelaida Salvador Sarabia,566954791,Supervisor,2021-10-15,+34709 11 89 52,egabaldon@gmail.com
111,Leocadia Luisina Ferrero Galán,9521123022,Diseñador,2022-04-13,+34987 77 83 83,petronapastor@landa.es
112,Geraldo Tudela Palacios,3588184531,Cortador,2022-10-23,+34 941757171,aristidesfernandez@yahoo.com
113,Clímaco de Anaya,6414166894,Empacador,2025-01-09,+34 707 363 128,lope65@castilla.net
114,Kike Rosselló-Roig,9637050570,Confeccionista,2022-05-22,+34720402887,mmunoz@benet.com
115,Onofre Chico-Feijoo,871580567,Empacador,2022-06-13,+34 666 73 14 24,arielalberola@hotmail.com
116,Merche Nélida Cabezas Oliva,4565214868,Diseñador,2023-08-01,+34 715123406,angel89@hotmail.com
117,Paca del Valenciano,1777398036,Empacador,2022-08-30,+34 882 885 467,farresalud@arce-nadal.net
118,Cristian Torres-Palomino,8598297501,Supervisor,2024-09-13,+34 896 34 05 05,yrozas@yahoo.com
119,Dulce Loida Rocamora Ángel,1382266024,Cortador,2021-09-13,+34812929376,quique48@gmail.com
120,Aurelia Lobo Pedrero,4013520874,Diseñador,2020-07-29,+34976 184 553,arellanopedro@yahoo.com
121,Isabel Contreras Noriega,6569435725,Cortador,2021-07-27,+34708 59 51 37,jordivizcaino@rios.es
122,Bernabé Aguilar Miralles,9943802839,Cortador,2021-03-14,+34 690 37 32 63,hfuentes@gmail.com
123,Plinio Nevado,820668842,Supervisor,2025-03-11,+34 677 624 120,gabinogomez@zamorano.es
124,Moreno Mateo-Aparicio,9763161640,Empacador,2021-01-23,+34721 067 398,juan-franciscopallares@cardenas.com
125,Pili Casado,913798991,Cortador,2025-01-16,+34706 23 29 55,cloelerma@salva.es
126,Toribio Figuerola Nogueira,5620665828,Supervisor,2024-02-21,+34 723 279 765,nferreras@yahoo.com
127,Milagros Bello Berenguer,9644196217,Supervisor,2022-02-22,+34712 24 39 81,agata88@sanchez-benito.es
128,Leonardo Santiago,6612423279,Supervisor,2022-01-18,+34711 50 66 74,bvergara@suarez-gascon.com
129,Severiano Menéndez-Torrecilla,5969966148,Cortador,2021-10-05,+34 712 002 444,susana02@hotmail.com
130,María José Pagès Gisbert,8638410973,Cortador,2024-08-02,+34700190691,ana-sofia45@rius.es
131,Santos Cerezo,7091100824,Supervisor,2021-10-14,+34700 148 515,josepmosquera@hotmail.com
132,Paco Ariel Beltran Oliver,777321309,Confeccionista,2021-09-09,+34 644 79 36 01,qbermudez@andres.com
133,Imelda Lastra Casado,3305832171,Confeccionista,2021-05-18,+34 941 51 02 20,mvillar@hotmail.com
134,Caridad Almagro Miró,7969489806,Confeccionista,2024-02-16,+34748 44 64 81,jacintaguitart@balaguer.com
135,Visitación Miguel Seco,9892734863,Cortador,2023-10-30,+34 740 164 104,villanuevaherminio@hotmail.com
136,Aurelio Tito Exposito Almazán,2349279637,Cortador,2024-07-18,+34613 98 82 08,zmartinez@yahoo.com
137,Telmo Sanchez Barragán,6279426023,Cortador,2023-08-23,+34896779357,alsinaduilio@angulo-portero.es
138,Jeremías Valerio Lorenzo Zurita,2189973155,Supervisor,2025-06-07,+34731 56 56 03,marisela77@yahoo.com
139,Lupita Valenciano,1971282674,Confeccionista,2023-06-11,+34 726 723 551,azucenarovira@hotmail.com
140,Leandro Ramírez-Crespi,6256695316,Supervisor,2022-09-13,+34 827570796,susanitafonseca@llobet.com
141,Teófilo Sanjuan Casares,1549436667,Cortador,2023-09-10,+34 717 62 52 85,paolaroman@beltran.es
142,Ariadna Arellano Porras,6592792091,Confeccionista,2020-09-30,+34633 90 05 94,felisa92@hotmail.com
143,Flor del Hidalgo,6166757622,Cortador,2024-02-23,+34721 356 443,susanitapuerta@briones.es
144,Goyo Amor Lara,398677590,Confeccionista,2022-02-17,+34 999 300 303,goyo31@angel.org
145,Íngrid Jaén Agustín,3839444612,Empacador,2024-11-12,+34 862 59 79 08,montanacleto@gmail.com
146,Bibiana de Martín,9686104071,Cortador,2021-03-07,+34707 58 50 10,nievesmulet@bayona-ibanez.org
147,Rocío Velasco-Bravo,2771024965,Empacador,2021-01-27,+34 713 531 437,hsaldana@yahoo.com
148,Rosalía Cuenca Cabello,7018108391,Diseñador,2024-12-16,+34 834850683,rosariopablo@aguirre.es
149,Pedro Ocaña Amat,271035258,Supervisor,2024-11-19,+34 746 84 32 20,seguranestor@gmail.com
150,Pío Epifanio Villalba Amador,4365649548,Diseñador,2020-11-03,+34731 768 340,salome71@aroca.es
151,Clímaco Francisco Jose Novoa Ariza,5301816244,Empacador,2022-12-24,+34908 85 86 18,jorgesalmeron@yahoo.com
152,Máxima Ibáñez Vázquez,6298255107,Empacador,2022-03-07,+34 738 95 11 11,alvarezjoaquina@yahoo.com
153,Horacio Domínguez Pereira,1227386357,Empacador,2024-01-17,+34 651 90 42 93,lazaro71@gmail.com
154,Joaquín Mata-Hervia,6851727323,Cortador,2024-06-21,+34 734 47 50 54,sainzsantos@yahoo.com
155,Abigaíl de Pozo,7656354969,Confeccionista,2025-04-25,+34716 72 43 60,blancoolimpia@yahoo.com
156,Alma Pizarro Tur,8788736937,Diseñador,2021-09-08,+34 716731960,qrosa@hotmail.com
157,Rolando Feijoo-Cid,770038731,Diseñador,2021-01-01,+34 852 23 48 77,vivesbernarda@gmail.com
158,Sebastian Bonilla Múgica,5225308830,Supervisor,2022-08-03,+34 810 21 58 62,eusebiobelda@yahoo.com
159,Cecilio Arce Serna,3345258920,Cortador,2023-09-29,+34 732 002 292,griseldalinares@iriarte.net
160,Vasco Calvet Meléndez,6642100722,Diseñador,2021-03-22,+34 958 602 901,castillofeliciana@hotmail.com
161,Guadalupe Caballero Gomila,2643558706,Cortador,2021-01-16,+34688473184,josepnogueira@hotmail.com
162,Abril Echeverría Cerdá,1299758556,Empacador,2021-11-30,+34 909 739 204,valenciapaula@hotmail.com
163,Aura Coloma Catalán,3482649990,Diseñador,2021-08-15,+34 715001824,scantero@arribas-chaparro.es
164,Priscila Barros Santamaría,9233469686,Empacador,2022-03-23,+34 721 782 187,hdominguez@yahoo.com
165,Coral Perales Novoa,6789540465,Confeccionista,2022-10-06,+34 738 149 409,gilberto41@gmail.com
166,Iris de Barceló,2559853661,Diseñador,2023-03-20,+34714 22 44 33,jose-angel80@hotmail.com
167,Ciro Uría Román,4764404866,Confeccionista,2022-03-18,+34712 085 164,vilanovajuana@hotmail.com
168,José de Garrido,4000732351,Confeccionista,2022-02-05,+34684 65 66 70,eduardobelda@gmail.com
169,Adelaida Benita Torres Nieto,3220965183,Diseñador,2020-12-29,+34722 23 30 26,manolaroca@gmail.com
170,Olivia Cabrera-Moreno,1029680340,Diseñador,2022-04-22,+34 725 73 15 33,ciroazcona@colomer.com
171,Yéssica Dalila Garmendia Miralles,6065234655,Diseñador,2023-09-11,+34 724 23 60 77,ocarvajal@amo.com
172,Marisol Mir Pinilla,519769556,Empacador,2024-07-02,+34991 281 698,norberto93@fabra.es
173,Genoveva Narváez Moraleda,3371733790,Diseñador,2025-05-04,+34 876442536,dorotea12@cabeza-hervas.com
174,Severiano Ovidio Santiago Viña,4755143294,Supervisor,2020-08-30,+34 614 553 808,abellaafrica@gonzalo-duenas.es
175,Paz Saura Velázquez,4539827756,Confeccionista,2024-07-04,+34711 702 790,aliagajuan-manuel@amoros-torrents.es
176,Zaira Angulo Vilar,6095888333,Confeccionista,2024-07-23,+34 895 96 77 98,aguileracelso@gutierrez.net
177,Bernardino Heriberto Arévalo Arregui,6568451050,Confeccionista,2023-04-27,+34 745 222 044,escrivabaudelio@gmail.com
178,Jose Antonio Rodriguez Morcillo,7544293135,Confeccionista,2023-07-12,+34 729 593 835,lucila37@escalona-calderon.com
179,Anunciación Torrijos Gras,1362338715,Empacador,2023-02-10,+34 727966569,catalinavall@ribes.es
180,Dan de Conesa,7730386010,Cortador,2024-07-19,+34801 799 465,rcano@bayo.com
181,Loida Giralt Millán,3635616138,Diseñador,2023-11-27,+34 979 06 48 43,adieguez@gmail.com
182,Dani Marin Cabanillas,1446303014,Cortador,2024-07-10,+34 718 348 722,angelaanglada@hernandez-julia.es
183,Iván Perea,1957620224,Empacador,2022-08-01,+34 723 67 08 71,artigassaturnino@morales-exposito.es
184,Valerio Torres Jara,5186255474,Supervisor,2021-01-13,+34903383326,adelia70@yahoo.com
185,Tere Dolores Pol Becerra,2272776878,Supervisor,2024-01-23,+34740 654 083,maritarosello@yahoo.com
186,Victoriano Jara Vilanova,5257181472,Confeccionista,2021-01-26,+34723 207 575,ribavisitacion@yahoo.com
187,Modesta Briones,2976404791,Supervisor,2021-08-14,+34 855504204,flavia64@hotmail.com
188,Carlos del Frías,9934885854,Supervisor,2022-01-10,+34 655 56 61 43,manu02@yahoo.com
189,Mirta Páez Barceló,5463072938,Cortador,2023-03-10,+34 653 90 93 26,gcoca@patino-ortiz.es
190,Carmelita Ortiz Páez,3232988017,Empacador,2023-08-04,+34906969768,vargassusanita@galvan.com
191,Heriberto Miralles Parejo,2089163401,Diseñador,2020-12-06,+34891570839,barreraisa@jove.net
192,Brunilda Lidia Puig Jaén,6030287726,Diseñador,2021-05-13,+34 721305083,jovitamontana@yahoo.com
193,Pepita Godoy Vera,9000803022,Supervisor,2022-10-14,+34732 703 283,fernando10@gmail.com
194,Serafina Zabala,7878058238,Cortador,2025-01-22,+34 722 05 71 93,crespohector@fabregas.com
195,Nélida Cerro-Bayona,7839587564,Confeccionista,2025-02-10,+34 748443894,uegea@cervantes.com
196,Georgina de Cobo,3143905639,Cortador,2021-06-12,+34 745 71 92 66,nicolasgeorgina@machado.com
197,Desiderio Ayllón Pizarro,1630411335,Empacador,2024-06-13,+34722 96 83 75,dvalentin@nieto.com
198,Glauco Cabanillas-Montero,3120006534,Empacador,2024-12-31,+34 686 018 656,oscar61@cueto-sobrino.org
199,Gracia Teófila Elorza Noguera,160662932,Supervisor,2021-11-29,+34638006047,qherranz@gmail.com
200,René Tolosa Montero,6535349080,Diseñador,2022-12-04,+34655 892 834,noelia14@gmail.com
201,Alexandra Ángel Valle,848208338,Cortador,2024-11-10,+34726 93 05 02,xhidalgo@coello.com
202,Arturo del Pablo,8844195872,Supervisor,2022-11-22,+34611 30 77 37,kroldan@luz-bas.es
203,Dorita Graciana Cabanillas Moya,3744236061,Confeccionista,2022-03-28,+34731540222,cleto44@menendez.es
204,Rolando Berrocal Ferrera,4485370457,Cortador,2020-12-28,+34 738 570 689,zandres@aguilo.es
205,Noé Zacarías Pinedo Pardo,56683254,Empacador,2022-01-29,+34 709 07 49 83,sbenitez@hotmail.com
206,Alicia Arcos Priego,4615538083,Diseñador,2023-08-27,+34697 437 589,ines64@aragones-castrillo.com
207,Pablo Ángel Jordán,3174318459,Diseñador,2025-05-01,+34 622 379 135,lidiacornejo@montana.org
208,Gerónimo de Tudela,4918927978,Empacador,2021-08-08,+34 726730908,jose-antonio05@moraleda-segui.com
209,Vicenta Pedraza,4239088153,Diseñador,2022-08-10,+34 638 11 53 21,jcuenca@hotmail.com
210,Adelia Casals Ropero,2630777760,Supervisor,2023-04-06,+34 723839294,alex61@yahoo.com
211,Abigaíl Juárez,8067024943,Empacador,2025-03-04,+34 740471078,vgarate@lloret.net
212,Emperatriz Patiño Mariscal,2861154363,Confeccionista,2021-10-15,+34723714621,lope12@gmail.com
213,Flora Nogués Fernandez,3997175807,Cortador,2023-03-07,+34741 515 929,ribadomitila@hotmail.com
214,Onofre del Canals,8732302674,Supervisor,2023-12-08,+34739038187,palmaflorencio@hotmail.com
215,Duilio Cisneros,3608070724,Empacador,2025-06-17,+34738149385,saavedraana-belen@aviles.net
216,Adriana Cordero Pavón,2031605758,Empacador,2023-05-18,+34742 51 99 27,maria-cristinamendizabal@cifuentes-saldana.com
217,Fernanda del Sureda,6765984634,Cortador,2021-10-22,+34 957 201 106,reyes46@iborra.org
218,Jorge Faustino Valderrama Martí,2399816060,Empacador,2023-03-08,+34 736 248 471,criadonacho@gaya.es
219,Otilia Guardiola Diez,384445885,Empacador,2022-06-28,+34611 051 095,rborrell@salcedo-cornejo.com
220,Débora Ibarra-Pomares,5768022561,Supervisor,2023-04-05,+34741925795,leoncamilo@company.es
221,Norberto Valenzuela Benavides,3429496549,Empacador,2022-10-11,+34719 50 30 26,telmo58@gmail.com
222,Ruperta de Salinas,9919993127,Confeccionista,2024-01-01,+34978410485,santamariapalmira@gmail.com
223,Sebastian Elías-Benítez,5917427627,Confeccionista,2021-04-26,+34 746 479 231,peraltamariano@pinto.org
224,Saturnino Yuste-Sevilla,6316562738,Cortador,2023-01-03,+34 707 169 554,tejeroingrid@bayon-marin.es
225,Elisa Sanmiguel-Ayuso,7068374135,Diseñador,2023-10-16,+34 683 61 35 69,vivianallorens@yahoo.com
226,Gloria Barco Llorente,6109106023,Confeccionista,2021-08-01,+34 690041641,edmundo46@porras-alegria.org
227,Calisto Macías,700828248,Diseñador,2021-03-16,+34 845719869,inigoduque@arco.es
228,Kike Real Moraleda,228219922,Confeccionista,2023-03-23,+34718 67 90 19,gracianaamor@arino.org
229,Ágata Manzano Ramirez,3180999883,Cortador,2023-12-28,+34 675 404 509,pmayo@calatayud.net
230,Ámbar Valdés Alvarado,5696917309,Confeccionista,2021-11-03,+34 634 60 22 44,vargascaridad@martorell.com
231,Filomena Baños Roda,9498708934,Empacador,2022-04-23,+34731 23 62 76,tamayojavi@yahoo.com
232,Tamara Estrada Clemente,1505337292,Confeccionista,2021-12-15,+34949 675 979,fuertesgraciana@nino.org
233,Dafne Poza Oliva,4102990985,Diseñador,2024-06-14,+34 741 86 88 50,loretobenavente@caro.net
234,Rosaura Peña Vara,9706747819,Cortador,2020-10-01,+34 744 198 817,araujosimon@gmail.com
235,Regina Lozano Bernal,2047629483,Empacador,2023-07-23,+34607923806,hribas@ledesma.org
236,María Cristina Rincón Vilaplana,1740811066,Supervisor,2025-03-09,+34 717130067,cletocasares@gmail.com
237,Plinio Milla Salvà,2445966351,Confeccionista,2022-08-06,+34 711527238,luis09@yahoo.com
238,Samanta Benavent Peiró,2570998022,Supervisor,2025-05-12,+34732 977 936,evangelina55@carpio.es
239,Tamara Aitana Perera Vila,5866782044,Empacador,2021-12-08,+34875449347,maria-luisa93@hotmail.com
240,Ramón Villalonga Yáñez,1828349205,Cortador,2023-11-09,+34710 59 47 69,jbarba@muro-rozas.es
241,Fito Bermúdez,5239133348,Diseñador,2022-04-05,+34970621992,fmunoz@hotmail.com
242,Virginia Fernández Cal,9036148309,Diseñador,2021-02-23,+34 878498243,joaquin48@gmail.com
243,Sandalio Moliner Santamaria,481597403,Diseñador,2020-10-26,+34 747784347,cristian86@elorza.es
244,Guadalupe Macias-Izquierdo,4751989419,Diseñador,2020-12-04,+34 732 900 255,bcal@arranz.com
245,Bernardita Garcia,9239074038,Cortador,2020-07-06,+34649 98 92 95,febe56@hotmail.com
246,Nerea Tomas Hernando,6798580072,Diseñador,2023-07-08,+34 743 88 27 34,tolosaciriaco@bueno.es
247,Camilo Segismundo Garcia Goicoechea,2170259587,Confeccionista,2024-09-23,+34 706 33 03 06,anastasio21@esparza.es
248,Lorenzo Priego Baró,5624751901,Cortador,2022-09-28,+34 691 81 85 01,georgina49@ibanez.org
249,Anna Cal Marín,6834860743,Cortador,2024-07-16,+34 749193140,sanjuanlilia@aramburu.es
250,Nerea Vergara Coloma,2278141142,Empacador,2024-08-01,+34715 40 34 17,evita94@lara-raya.es
251,Plinio Mosquera Carnero,889379144,Confeccionista,2020-07-27,+34 856 84 80 12,aurelianocabanillas@gmail.com
252,Cornelio Pons Fábregas,9327555156,Confeccionista,2023-11-19,+34 707 945 945,chita95@herranz-arce.com
253,Federico Barroso Bueno,3067275481,Supervisor,2020-07-19,+34 849 76 05 71,ilucena@yahoo.com
